municipio,departamento,votos,candidato
El Encanto,Amazonas,107,Iván Duque
El Encanto,Amazonas,181,Gustavo Petro
La Chorrera,Amazonas,78,Iván Duque
La Chorrera,Amazonas,482,Gustavo Petro
La Pedrera,Amazonas,66,Iván Duque
La Pedrera,Amazonas,182,Gustavo Petro
La Victoria,Amazonas,5,Iván Duque
La Victoria,Amazonas,11,Gustavo Petro
Leticia,Amazonas,8536,Iván Duque
Leticia,Amazonas,6676,Gustavo Petro
Miriti Parana,Amazonas,12,Iván Duque
Miriti Parana,Amazonas,72,Gustavo Petro
Puerto Alegria,Amazonas,32,Iván Duque
Puerto Alegria,Amazonas,40,Gustavo Petro
Puerto Arica,Amazonas,58,Iván Duque
Puerto Arica,Amazonas,84,Gustavo Petro
Puerto Nariño,Amazonas,874,Iván Duque
Puerto Nariño,Amazonas,1207,Gustavo Petro
Puerto Santander,Amazonas,48,Iván Duque
Puerto Santander,Amazonas,115,Gustavo Petro
Tarapaca,Amazonas,146,Iván Duque
Tarapaca,Amazonas,274,Gustavo Petro
Abejorral,Antioquia,6572,Iván Duque
Abejorral,Antioquia,547,Gustavo Petro
Abriaqui,Antioquia,975,Iván Duque
Abriaqui,Antioquia,43,Gustavo Petro
Alejandria,Antioquia,2018,Iván Duque
Alejandria,Antioquia,216,Gustavo Petro
Amaga,Antioquia,8193,Iván Duque
Amaga,Antioquia,1715,Gustavo Petro
Amalfi,Antioquia,5162,Iván Duque
Amalfi,Antioquia,760,Gustavo Petro
Andes,Antioquia,14272,Iván Duque
Andes,Antioquia,2021,Gustavo Petro
Angelopolis,Antioquia,2284,Iván Duque
Angelopolis,Antioquia,268,Gustavo Petro
Angostura,Antioquia,2810,Iván Duque
Angostura,Antioquia,276,Gustavo Petro
Anori,Antioquia,2217,Iván Duque
Anori,Antioquia,826,Gustavo Petro
Antioquia,Antioquia,7737,Iván Duque
Antioquia,Antioquia,1770,Gustavo Petro
Anza,Antioquia,2609,Iván Duque
Anza,Antioquia,201,Gustavo Petro
Apartado,Antioquia,19492,Iván Duque
Apartado,Antioquia,21472,Gustavo Petro
Arboletes,Antioquia,6759,Iván Duque
Arboletes,Antioquia,4117,Gustavo Petro
Argelia,Antioquia,3124,Iván Duque
Argelia,Antioquia,134,Gustavo Petro
Armenia,Antioquia,1739,Iván Duque
Armenia,Antioquia,215,Gustavo Petro
Barbosa,Antioquia,14540,Iván Duque
Barbosa,Antioquia,4375,Gustavo Petro
Bello,Antioquia,125307,Iván Duque
Bello,Antioquia,41642,Gustavo Petro
Belmira,Antioquia,1904,Iván Duque
Belmira,Antioquia,222,Gustavo Petro
Betania,Antioquia,3161,Iván Duque
Betania,Antioquia,287,Gustavo Petro
Betulia,Antioquia,5784,Iván Duque
Betulia,Antioquia,295,Gustavo Petro
Bolivar,Antioquia,10044,Iván Duque
Bolivar,Antioquia,1161,Gustavo Petro
Briceño,Antioquia,1360,Iván Duque
Briceño,Antioquia,600,Gustavo Petro
Buritica,Antioquia,2211,Iván Duque
Buritica,Antioquia,518,Gustavo Petro
Caceres,Antioquia,2853,Iván Duque
Caceres,Antioquia,2461,Gustavo Petro
Caicedo,Antioquia,2659,Iván Duque
Caicedo,Antioquia,325,Gustavo Petro
Caldas,Antioquia,24691,Iván Duque
Caldas,Antioquia,8580,Gustavo Petro
Campamento,Antioquia,1581,Iván Duque
Campamento,Antioquia,252,Gustavo Petro
Caracoli,Antioquia,1448,Iván Duque
Caracoli,Antioquia,298,Gustavo Petro
Caramanta,Antioquia,1947,Iván Duque
Caramanta,Antioquia,352,Gustavo Petro
Carepa,Antioquia,8774,Iván Duque
Carepa,Antioquia,8462,Gustavo Petro
Carmen De Viboral,Antioquia,16807,Iván Duque
Carmen De Viboral,Antioquia,5363,Gustavo Petro
Carolina,Antioquia,1515,Iván Duque
Carolina,Antioquia,239,Gustavo Petro
Caucasia,Antioquia,16151,Iván Duque
Caucasia,Antioquia,11997,Gustavo Petro
Cañasgordas,Antioquia,6434,Iván Duque
Cañasgordas,Antioquia,521,Gustavo Petro
Chigorodo,Antioquia,9167,Iván Duque
Chigorodo,Antioquia,9220,Gustavo Petro
Cisneros,Antioquia,3902,Iván Duque
Cisneros,Antioquia,764,Gustavo Petro
Cocorna,Antioquia,6749,Iván Duque
Cocorna,Antioquia,628,Gustavo Petro
Concepcion,Antioquia,1974,Iván Duque
Concepcion,Antioquia,168,Gustavo Petro
Concordia,Antioquia,6120,Iván Duque
Concordia,Antioquia,500,Gustavo Petro
Copacabana,Antioquia,24052,Iván Duque
Copacabana,Antioquia,9368,Gustavo Petro
Dabeiba,Antioquia,4581,Iván Duque
Dabeiba,Antioquia,1672,Gustavo Petro
Don Matias,Antioquia,7706,Iván Duque
Don Matias,Antioquia,898,Gustavo Petro
Ebejico,Antioquia,4599,Iván Duque
Ebejico,Antioquia,478,Gustavo Petro
El Bagre,Antioquia,7883,Iván Duque
El Bagre,Antioquia,3902,Gustavo Petro
Entrerrios,Antioquia,3764,Iván Duque
Entrerrios,Antioquia,540,Gustavo Petro
Envigado,Antioquia,109059,Iván Duque
Envigado,Antioquia,26041,Gustavo Petro
Fredonia,Antioquia,5940,Iván Duque
Fredonia,Antioquia,1375,Gustavo Petro
Frontino,Antioquia,4276,Iván Duque
Frontino,Antioquia,1410,Gustavo Petro
Giraldo,Antioquia,1752,Iván Duque
Giraldo,Antioquia,533,Gustavo Petro
Girardota,Antioquia,16322,Iván Duque
Girardota,Antioquia,6630,Gustavo Petro
Gomez Plata,Antioquia,3589,Iván Duque
Gomez Plata,Antioquia,383,Gustavo Petro
Granada,Antioquia,4712,Iván Duque
Granada,Antioquia,414,Gustavo Petro
Guadalupe,Antioquia,1545,Iván Duque
Guadalupe,Antioquia,364,Gustavo Petro
Guarne,Antioquia,17498,Iván Duque
Guarne,Antioquia,3807,Gustavo Petro
Guatape,Antioquia,3616,Iván Duque
Guatape,Antioquia,727,Gustavo Petro
Heliconia,Antioquia,2305,Iván Duque
Heliconia,Antioquia,291,Gustavo Petro
Hispania,Antioquia,1976,Iván Duque
Hispania,Antioquia,360,Gustavo Petro
Itagui,Antioquia,97703,Iván Duque
Itagui,Antioquia,29670,Gustavo Petro
Ituango,Antioquia,2609,Iván Duque
Ituango,Antioquia,1234,Gustavo Petro
Jardin,Antioquia,5574,Iván Duque
Jardin,Antioquia,1541,Gustavo Petro
Jerico,Antioquia,5280,Iván Duque
Jerico,Antioquia,627,Gustavo Petro
La Ceja,Antioquia,24631,Iván Duque
La Ceja,Antioquia,5313,Gustavo Petro
La Estrella,Antioquia,21947,Iván Duque
La Estrella,Antioquia,7141,Gustavo Petro
La Pintada,Antioquia,2857,Iván Duque
La Pintada,Antioquia,562,Gustavo Petro
La Union,Antioquia,8629,Iván Duque
La Union,Antioquia,1693,Gustavo Petro
Liborina,Antioquia,4023,Iván Duque
Liborina,Antioquia,483,Gustavo Petro
Maceo,Antioquia,3017,Iván Duque
Maceo,Antioquia,492,Gustavo Petro
Marinilla,Antioquia,20473,Iván Duque
Marinilla,Antioquia,5143,Gustavo Petro
Medellin,Antioquia,693334,Iván Duque
Medellin,Antioquia,208427,Gustavo Petro
Montebello,Antioquia,2465,Iván Duque
Montebello,Antioquia,342,Gustavo Petro
Murindo,Antioquia,148,Iván Duque
Murindo,Antioquia,1126,Gustavo Petro
Mutata,Antioquia,2418,Iván Duque
Mutata,Antioquia,1636,Gustavo Petro
Nariño,Antioquia,3850,Iván Duque
Nariño,Antioquia,166,Gustavo Petro
Nechi,Antioquia,3680,Iván Duque
Nechi,Antioquia,1323,Gustavo Petro
Necocli,Antioquia,8124,Iván Duque
Necocli,Antioquia,4245,Gustavo Petro
Olaya,Antioquia,1368,Iván Duque
Olaya,Antioquia,175,Gustavo Petro
Peque,Antioquia,2370,Iván Duque
Peque,Antioquia,448,Gustavo Petro
Peñol,Antioquia,7959,Iván Duque
Peñol,Antioquia,1143,Gustavo Petro
Pueblorrico,Antioquia,3044,Iván Duque
Pueblorrico,Antioquia,345,Gustavo Petro
Puerto Berrio,Antioquia,9603,Iván Duque
Puerto Berrio,Antioquia,3465,Gustavo Petro
Puerto Nare-La Magdalena,Antioquia,3387,Iván Duque
Puerto Nare-La Magdalena,Antioquia,1933,Gustavo Petro
Puerto Triunfo,Antioquia,5970,Iván Duque
Puerto Triunfo,Antioquia,1040,Gustavo Petro
Remedios,Antioquia,2952,Iván Duque
Remedios,Antioquia,1972,Gustavo Petro
Retiro,Antioquia,9830,Iván Duque
Retiro,Antioquia,1468,Gustavo Petro
Rionegro,Antioquia,51663,Iván Duque
Rionegro,Antioquia,13070,Gustavo Petro
Sabanalarga,Antioquia,3001,Iván Duque
Sabanalarga,Antioquia,295,Gustavo Petro
Sabaneta,Antioquia,33070,Iván Duque
Sabaneta,Antioquia,9057,Gustavo Petro
Salgar,Antioquia,5817,Iván Duque
Salgar,Antioquia,347,Gustavo Petro
San Andres,Antioquia,1714,Iván Duque
San Andres,Antioquia,257,Gustavo Petro
San Carlos,Antioquia,5911,Iván Duque
San Carlos,Antioquia,1009,Gustavo Petro
San Francisco,Antioquia,2385,Iván Duque
San Francisco,Antioquia,328,Gustavo Petro
San Jeronimo,Antioquia,5512,Iván Duque
San Jeronimo,Antioquia,609,Gustavo Petro
San Jose De La Montaña,Antioquia,1280,Iván Duque
San Jose De La Montaña,Antioquia,153,Gustavo Petro
San Juan De Uraba,Antioquia,4353,Iván Duque
San Juan De Uraba,Antioquia,2849,Gustavo Petro
San Luis,Antioquia,5232,Iván Duque
San Luis,Antioquia,647,Gustavo Petro
San Pedro,Antioquia,9677,Iván Duque
San Pedro,Antioquia,1229,Gustavo Petro
San Pedro De Uraba,Antioquia,8010,Iván Duque
San Pedro De Uraba,Antioquia,2241,Gustavo Petro
San Rafael,Antioquia,5058,Iván Duque
San Rafael,Antioquia,834,Gustavo Petro
San Roque,Antioquia,6070,Iván Duque
San Roque,Antioquia,691,Gustavo Petro
San Vicente,Antioquia,8327,Iván Duque
San Vicente,Antioquia,1390,Gustavo Petro
Santa Barbara,Antioquia,8174,Iván Duque
Santa Barbara,Antioquia,1743,Gustavo Petro
Santa Rosa De Osos,Antioquia,12619,Iván Duque
Santa Rosa De Osos,Antioquia,1694,Gustavo Petro
Santo Domingo,Antioquia,3890,Iván Duque
Santo Domingo,Antioquia,532,Gustavo Petro
Santuario,Antioquia,15693,Iván Duque
Santuario,Antioquia,1790,Gustavo Petro
Segovia,Antioquia,2703,Iván Duque
Segovia,Antioquia,3977,Gustavo Petro
Sonson,Antioquia,13495,Iván Duque
Sonson,Antioquia,1063,Gustavo Petro
Sopetran,Antioquia,4510,Iván Duque
Sopetran,Antioquia,1055,Gustavo Petro
Tamesis,Antioquia,6059,Iván Duque
Tamesis,Antioquia,1190,Gustavo Petro
Taraza,Antioquia,2698,Iván Duque
Taraza,Antioquia,2351,Gustavo Petro
Tarso,Antioquia,1887,Iván Duque
Tarso,Antioquia,527,Gustavo Petro
Titiribi,Antioquia,2941,Iván Duque
Titiribi,Antioquia,448,Gustavo Petro
Toledo,Antioquia,1288,Iván Duque
Toledo,Antioquia,276,Gustavo Petro
Turbo,Antioquia,17844,Iván Duque
Turbo,Antioquia,17182,Gustavo Petro
Uramita,Antioquia,2380,Iván Duque
Uramita,Antioquia,254,Gustavo Petro
Urrao,Antioquia,6904,Iván Duque
Urrao,Antioquia,1291,Gustavo Petro
Valdivia,Antioquia,2085,Iván Duque
Valdivia,Antioquia,965,Gustavo Petro
Valparaiso,Antioquia,2049,Iván Duque
Valparaiso,Antioquia,522,Gustavo Petro
Vegachi,Antioquia,3572,Iván Duque
Vegachi,Antioquia,345,Gustavo Petro
Venecia,Antioquia,4222,Iván Duque
Venecia,Antioquia,652,Gustavo Petro
Vigia Del Fuerte,Antioquia,698,Iván Duque
Vigia Del Fuerte,Antioquia,1266,Gustavo Petro
Yali,Antioquia,2146,Iván Duque
Yali,Antioquia,357,Gustavo Petro
Yarumal,Antioquia,11397,Iván Duque
Yarumal,Antioquia,2018,Gustavo Petro
Yolombo,Antioquia,5200,Iván Duque
Yolombo,Antioquia,893,Gustavo Petro
Yondo-Casabe,Antioquia,3620,Iván Duque
Yondo-Casabe,Antioquia,3016,Gustavo Petro
Zaragoza,Antioquia,3407,Iván Duque
Zaragoza,Antioquia,1944,Gustavo Petro
Arauca,Arauca,28788,Iván Duque
Arauca,Arauca,5530,Gustavo Petro
Arauquita,Arauca,5227,Iván Duque
Arauquita,Arauca,6757,Gustavo Petro
Cravo Norte,Arauca,1324,Iván Duque
Cravo Norte,Arauca,126,Gustavo Petro
Fortul,Arauca,1862,Iván Duque
Fortul,Arauca,3479,Gustavo Petro
Puerto Rondon,Arauca,1500,Iván Duque
Puerto Rondon,Arauca,167,Gustavo Petro
Saravena,Arauca,9218,Iván Duque
Saravena,Arauca,6842,Gustavo Petro
Tame,Arauca,11498,Iván Duque
Tame,Arauca,5957,Gustavo Petro
Baranoa,Atlantico,8435,Iván Duque
Baranoa,Atlantico,14567,Gustavo Petro
Barranquilla,Atlantico,191485,Iván Duque
Barranquilla,Atlantico,242473,Gustavo Petro
Campo De La Cruz,Atlantico,5779,Iván Duque
Campo De La Cruz,Atlantico,2285,Gustavo Petro
Candelaria,Atlantico,3789,Iván Duque
Candelaria,Atlantico,1354,Gustavo Petro
Galapa,Atlantico,5719,Iván Duque
Galapa,Atlantico,9797,Gustavo Petro
Juan De Acosta,Atlantico,5074,Iván Duque
Juan De Acosta,Atlantico,3218,Gustavo Petro
Luruaco,Atlantico,5647,Iván Duque
Luruaco,Atlantico,3450,Gustavo Petro
Malambo,Atlantico,11660,Iván Duque
Malambo,Atlantico,20084,Gustavo Petro
Manati,Atlantico,3941,Iván Duque
Manati,Atlantico,1417,Gustavo Petro
Palmar De Varela,Atlantico,3116,Iván Duque
Palmar De Varela,Atlantico,5983,Gustavo Petro
Piojo,Atlantico,1362,Iván Duque
Piojo,Atlantico,1049,Gustavo Petro
Polonuevo,Atlantico,2230,Iván Duque
Polonuevo,Atlantico,4688,Gustavo Petro
Ponedera,Atlantico,4471,Iván Duque
Ponedera,Atlantico,3146,Gustavo Petro
Puerto Colombia,Atlantico,6841,Iván Duque
Puerto Colombia,Atlantico,8920,Gustavo Petro
Repelon,Atlantico,5643,Iván Duque
Repelon,Atlantico,3187,Gustavo Petro
Sabanagrande,Atlantico,4709,Iván Duque
Sabanagrande,Atlantico,6775,Gustavo Petro
Sabanalarga,Atlantico,14589,Iván Duque
Sabanalarga,Atlantico,18466,Gustavo Petro
Santa Lucia,Atlantico,3877,Iván Duque
Santa Lucia,Atlantico,1460,Gustavo Petro
Santo Tomas,Atlantico,4390,Iván Duque
Santo Tomas,Atlantico,7612,Gustavo Petro
Soledad,Atlantico,42694,Iván Duque
Soledad,Atlantico,73794,Gustavo Petro
Suan,Atlantico,3108,Iván Duque
Suan,Atlantico,1373,Gustavo Petro
Tubara,Atlantico,2188,Iván Duque
Tubara,Atlantico,3029,Gustavo Petro
Usiacuri,Atlantico,2119,Iván Duque
Usiacuri,Atlantico,1976,Gustavo Petro
Bogotá D.C.,Bogotá D.C.,1447685,Iván Duque
Bogotá D.C.,Bogotá D.C.,1884869,Gustavo Petro
Achi,Bolivar,7101,Iván Duque
Achi,Bolivar,1195,Gustavo Petro
Altos Del Rosario,Bolivar,1794,Iván Duque
Altos Del Rosario,Bolivar,774,Gustavo Petro
Arenal,Bolivar,1469,Iván Duque
Arenal,Bolivar,1016,Gustavo Petro
Arjona,Bolivar,10665,Iván Duque
Arjona,Bolivar,12111,Gustavo Petro
Arroyo Hondo,Bolivar,2769,Iván Duque
Arroyo Hondo,Bolivar,565,Gustavo Petro
Barranco De Loba,Bolivar,3668,Iván Duque
Barranco De Loba,Bolivar,1170,Gustavo Petro
Calamar,Bolivar,5096,Iván Duque
Calamar,Bolivar,2305,Gustavo Petro
Cantagallo,Bolivar,1518,Iván Duque
Cantagallo,Bolivar,1696,Gustavo Petro
Cartagena,Bolivar,130644,Iván Duque
Cartagena,Bolivar,176421,Gustavo Petro
Cicuco,Bolivar,2427,Iván Duque
Cicuco,Bolivar,1929,Gustavo Petro
Clemencia,Bolivar,2817,Iván Duque
Clemencia,Bolivar,1638,Gustavo Petro
Cordoba,Bolivar,3428,Iván Duque
Cordoba,Bolivar,3506,Gustavo Petro
El Carmen De Bolivar,Bolivar,19288,Iván Duque
El Carmen De Bolivar,Bolivar,6074,Gustavo Petro
El Guamo,Bolivar,2249,Iván Duque
El Guamo,Bolivar,1095,Gustavo Petro
El Peñon,Bolivar,1792,Iván Duque
El Peñon,Bolivar,853,Gustavo Petro
Hatillo De Loba,Bolivar,3541,Iván Duque
Hatillo De Loba,Bolivar,772,Gustavo Petro
Magangue,Bolivar,22184,Iván Duque
Magangue,Bolivar,20362,Gustavo Petro
Mahates,Bolivar,5726,Iván Duque
Mahates,Bolivar,2829,Gustavo Petro
Margarita,Bolivar,3092,Iván Duque
Margarita,Bolivar,963,Gustavo Petro
Maria La Baja,Bolivar,7065,Iván Duque
Maria La Baja,Bolivar,8291,Gustavo Petro
Mompos,Bolivar,8469,Iván Duque
Mompos,Bolivar,6399,Gustavo Petro
Montecristo,Bolivar,1914,Iván Duque
Montecristo,Bolivar,856,Gustavo Petro
Morales,Bolivar,4619,Iván Duque
Morales,Bolivar,1462,Gustavo Petro
Norosi,Bolivar,790,Iván Duque
Norosi,Bolivar,718,Gustavo Petro
Pinillos,Bolivar,5520,Iván Duque
Pinillos,Bolivar,1855,Gustavo Petro
Regidor,Bolivar,1215,Iván Duque
Regidor,Bolivar,981,Gustavo Petro
Rioviejo,Bolivar,2042,Iván Duque
Rioviejo,Bolivar,997,Gustavo Petro
San Cristobal,Bolivar,1374,Iván Duque
San Cristobal,Bolivar,1768,Gustavo Petro
San Estanislao,Bolivar,4802,Iván Duque
San Estanislao,Bolivar,2152,Gustavo Petro
San Fernando,Bolivar,2307,Iván Duque
San Fernando,Bolivar,1146,Gustavo Petro
San Jacinto,Bolivar,6770,Iván Duque
San Jacinto,Bolivar,3496,Gustavo Petro
San Jacinto Del Cauca,Bolivar,1955,Iván Duque
San Jacinto Del Cauca,Bolivar,717,Gustavo Petro
San Juan Nepomuceno,Bolivar,10097,Iván Duque
San Juan Nepomuceno,Bolivar,4381,Gustavo Petro
San Martin De Loba,Bolivar,3070,Iván Duque
San Martin De Loba,Bolivar,2173,Gustavo Petro
San Pablo,Bolivar,5023,Iván Duque
San Pablo,Bolivar,3329,Gustavo Petro
Santa Catalina,Bolivar,2223,Iván Duque
Santa Catalina,Bolivar,2427,Gustavo Petro
Santa Rosa,Bolivar,2741,Iván Duque
Santa Rosa,Bolivar,3184,Gustavo Petro
Santa Rosa Del Sur,Bolivar,9096,Iván Duque
Santa Rosa Del Sur,Bolivar,1899,Gustavo Petro
Simiti,Bolivar,3910,Iván Duque
Simiti,Bolivar,1560,Gustavo Petro
Soplaviento,Bolivar,1121,Iván Duque
Soplaviento,Bolivar,2741,Gustavo Petro
TIquisio (pto. Rico),Bolivar,3998,Iván Duque
TIquisio (pto. Rico),Bolivar,1014,Gustavo Petro
Talaigua Nuevo,Bolivar,3093,Iván Duque
Talaigua Nuevo,Bolivar,1545,Gustavo Petro
Turbaco,Bolivar,11560,Iván Duque
Turbaco,Bolivar,15287,Gustavo Petro
Turbana,Bolivar,3185,Iván Duque
Turbana,Bolivar,3800,Gustavo Petro
Villanueva,Bolivar,4998,Iván Duque
Villanueva,Bolivar,2056,Gustavo Petro
Zambrano,Bolivar,1190,Iván Duque
Zambrano,Bolivar,3162,Gustavo Petro
Almeida,Boyaca,718,Iván Duque
Almeida,Boyaca,184,Gustavo Petro
Aquitania (puebloviejo),Boyaca,6296,Iván Duque
Aquitania (puebloviejo),Boyaca,1212,Gustavo Petro
Arcabuco,Boyaca,1519,Iván Duque
Arcabuco,Boyaca,1101,Gustavo Petro
Belen,Boyaca,2007,Iván Duque
Belen,Boyaca,1670,Gustavo Petro
Berbeo,Boyaca,394,Iván Duque
Berbeo,Boyaca,365,Gustavo Petro
Beteitiva,Boyaca,479,Iván Duque
Beteitiva,Boyaca,435,Gustavo Petro
Boavita,Boyaca,1984,Iván Duque
Boavita,Boyaca,501,Gustavo Petro
Boyaca,Boyaca,1319,Iván Duque
Boyaca,Boyaca,782,Gustavo Petro
Briceño,Boyaca,1037,Iván Duque
Briceño,Boyaca,188,Gustavo Petro
Buenavista,Boyaca,2081,Iván Duque
Buenavista,Boyaca,568,Gustavo Petro
Busbanza,Boyaca,309,Iván Duque
Busbanza,Boyaca,196,Gustavo Petro
Caldas,Boyaca,1136,Iván Duque
Caldas,Boyaca,513,Gustavo Petro
Campohermoso,Boyaca,980,Iván Duque
Campohermoso,Boyaca,232,Gustavo Petro
Cerinza,Boyaca,1123,Iván Duque
Cerinza,Boyaca,993,Gustavo Petro
Chinavita,Boyaca,1127,Iván Duque
Chinavita,Boyaca,320,Gustavo Petro
Chiquinquira,Boyaca,13498,Iván Duque
Chiquinquira,Boyaca,9421,Gustavo Petro
Chiquiza,Boyaca,651,Iván Duque
Chiquiza,Boyaca,1455,Gustavo Petro
Chiscas,Boyaca,1535,Iván Duque
Chiscas,Boyaca,222,Gustavo Petro
Chita,Boyaca,2678,Iván Duque
Chita,Boyaca,448,Gustavo Petro
Chitaraque,Boyaca,2368,Iván Duque
Chitaraque,Boyaca,398,Gustavo Petro
Chivata,Boyaca,770,Iván Duque
Chivata,Boyaca,758,Gustavo Petro
